streetLine1,postalCode,city,state,longitude,latitude
"280 Rue Jean-Claude-Tremblay","J7V0R2","Vaudreuil-Dorion","Montérégie","-74.04150453654447","45.39453162229461"
"2067 Rue du Magistrat","J7T3H7","Saint-Lazare","Montérégie","-74.14328176432396","45.41966894517926"
"3740 Chemin Sainte-Angélique","J7T2N4","Saint-Lazare","Montérégie","-74.20848624004607","45.40126772336595"
"68 Rue Mayfair","J0P1H0","Hudson","Montérégie","-74.18411565605619","45.45848546192221"
"2815 Route Harwood","J7T2H7","Saint-Lazare","Montérégie","-74.16457484477571","45.44504627933364"
"1550 Rue Rozon","J7T2H4","Saint-Lazare","Montérégie","-74.15019659880083","45.4020374634845"
"562 Rue Archambault","J7V1M5","Vaudreuil-Dorion","Montérégie","-74.02931740269683","45.38140709626067"
"75 Rue Saint-Pierre","J0P1P0","Rigaud","Montérégie","-74.30488495425705","45.47561425040242"
"324 Avenue André-Chartrand","J7V0K9","Vaudreuil-Dorion","Montérégie","-74.03685013965601","45.38093308995661"
"5 Rue Sylvio-Leduc","J7W3K6","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.92320487857579","45.38467548593711"
"1559 Rue du Champagne","J7T2C1","Saint-Lazare","Montérégie","-74.15914554948911","45.4037679112128"
"2040 Rue de Brentwood","J7T2G5","Saint-Lazare","Montérégie","-74.14160919000636","45.40399373344614"
"2370 Rue Sandmere","J7T0A7","Saint-Lazare","Montérégie","-74.15246537780196","45.41936491032371"
"24 Chemin du Vieux-Moulin","J7W3L9","Notre-Dame-de-l'Île-Perrot","Montérégie","-73.87409199158824","45.3613693558703"
"100 Avenue Marc-Aurèle-Fortin","J7V8H5","Vaudreuil-Dorion","Montérégie","-74.0373283220404","45.39427092686335"
"23 Rue D'Amour","J0P1P0","Rigaud","Montérégie","-74.30084329486156","45.47471583466193"
"1379 Rue Sophie","J7T1J8","Les Cèdres","Montérégie","-74.06805322193435","45.30940242338418"
"99 Rue des Pins","J7V8L7","L'Île-Perrot","Montérégie","-73.9446541629835","45.3841710017013"
"550 Rue Valois","J7V1T4","Vaudreuil-Dorion","Montérégie","-74.0264576203524","45.37932066282699"
"17 Rue des Lilas","J0P1B0","Coteau-du-Lac","Montérégie","-74.1788251076985","45.29230296125267"
"109 Boulevard Cardinal-Léger","J7W3Y3","Pincourt","Montérégie","-73.9926403529982","45.38240831318113"
